Paper Title,First Author,Year,Journal/Conference,DOI/URL,Task Type,Imaging Modality,Other Input Features,Prediction Target,Prediction Horizon,Model Architecture,Training Dataset,Dataset Size (n),External Validation?,Primary Metric,Primary Metric Value,Secondary Metrics,Addresses Long-term Prediction (Ch1),Identifies Early Signals (Ch2),Handles Low Event Rates (Ch3),Identifies Rapid Progressors (Ch4),Improves Grading Consistency (Ch5),Relevance to BLKR-201 Study,Potential Application,Key Findings/Notes,Limitations
A deep learning system for predicting time to progression of DR,Dai L,2024,Nature Medicine,https://doi.org/10.1038/s41591-023-02702-z,Time-to-DR progression,Color Fundus (2-field: macula + disc),"Age, gender, smoking, DM duration, baseline DR, BMI, HbA1c, BP, lipids","Time to any DR progression; subgroups: non-DR→DR, non-referable→referable, non-VTDR→VTDR",1-5 years,ResNet-50 + self-attention,DRPS cohort (Shanghai); pretrained on Shanghai integeration model + SDPP,"717K pretrain;  19,100 dev; 10,768 external","Yes (8 cohorts, multiethnic)",C-index,0.823 (int); 0.786-0.802 (ext),IBS 0.153-0..241; AUC 0.722-0.865; time-dependent ROC,Y,Y,Y,Y,N,High,DRSS trajectory prediction; time-to-VTC modeling; patient rist stratification for enrichment; personalized screening intervals,Fondus model alone matches combined model,Trained primarily on Chinese population; not validated in actual clinical trial workflow; performance may vary with different treatment regimens
Automated Machine Learning for Predicting Diabetic Retinopathy From Ultra-Widefield Retinal Images,Silva PS,2024,JAMA Opthalmology,https://doi.org/10.1001/jamaophthalmol.2023.6318,DRSS Step Change Prediction,Color Fundus (widefield),None (images only),≥1 step DR progression on clinical ETDRS scale (binary classification),3 years,Google AutoML (automated architecture search),"Beetham Eye Institute, Joslin Diabetes Center, Boston (single center)","1,179 train, 753 validation",No (validation from same population),AUPRC,0.717 (mild NPDR); 0.863 (moderate NPDR),"Validation: Mild NPDR - Sens 0.72, Spec 0.63, Acc 64.3%; Moderate NPDR - Sens 0.80, Spec 0.72, Acc 73.8%; 2-step progression detected: 75% mild, 85% moderate; 1-year rapid progressors: 100% mild, 85% moderate",Y,Y,Partial,Y,N,Medium,Rapid progressor identification; patient enrichment; DRSS trajectory prediction; personalized screening intervals,First autoML model using UWF imaging for DR progression. UWF captures peripheral lesions important for risk. Saliency maps highlight optic disc and peripapillary vessels - regions not typically evaluated in early NPDR. Perforamnce comparable to bespoke AI models. 100% sensitivity for mild NPDR progressing within 1 year. Personalized intervals could reduce costs >20% and appointments ~40%.,"Single-center dataset; small sample size (1,179 images); no true external validation; no visual acuity outcomes; limited to mild/moderate"
Deep learning algorithm predicts diabetic retinopathy progression in individual patients,Arcadu F,2019,npj Digital Medicine,https://doi.org/10.1038/s41746-019-0172-3,DRSS Step Change Prediction,Color Fundus (7-field ETDRS),None (images only),≥2-step ETDRS DRSS worsening (binary classification),"6, 12, 24 months",Inception-v3 DCNNs (7 field-specific 'pillars') + Random Forest aggregation; transfer learning from ImageNet→Kaggle DR,RIDE/RISE Phase 3 trials (sham-treated study eyes + untreated fellow eyes),"~530 patients; ~680 eyes; ~4,800 CFPs",No (5-fold CV only),AUC,Month 12: 0.79 ± 0.05; Month 24: 0.77 ± 0.04; Month 6: 0.68 ± 0.13,"Month 12: Sens 91%, Spec 65%; Month 24: Sens 79%, Spec 72%; Month 6: Sens 66%, Spec 77%; Central fields only (F1+F2): AUC 0.64 vs 0.79 with all 7 fields",Y,Y,Partial,Y,N,High,Patient enrichment for clinical trials; DRSS trajectory prediction; rapid progressor identification; validates peripheral retina importance,"First to predict individual patient DR progression using single-visit CFPs. Key finding: peripheral fields (F3-F7) more predictive than central (F1-F2); using only F1+F2 drops AUC from 0.79→0.64. Attribution maps highlight microaneurysms, hemorrhages, exudates. SHAP shows F5 and F7 most important. Baseline DRSS grade alone achieves only AUC ~0.52. Explicitly designed for clinical trial enrichment.",Small dataset (~530 patients); clinical trial population only (RIDE/RISE eligibility); no external validation; 7-field CFPs impractical vs single-field/UWF; only untreated eyes - no treatment effect modeling; limited interpretability; Roche/Genentech sponsored
Fundus photographic risk factors for progression of diabetic retinopathy (ETDRS Report 12),ETDRS Research Group,1991,Ophthalmology,https://europepmc.org/article/MED/2062515,Risk factor analysis,7-field CFP,None,DRSS progression,4–6 years,Statistical modeling,ETDRS trials,~3000 eyes,Yes,RR / OR,—,Risk stratification tables,Yes,No,Yes,Yes,Yes,,Regulatory grounding,Established DRSS as surrogate for VTDR,Not individualized prediction
How many steps of progression are meaningful?,Klein,2001,Archives of Ophthalmology,https://doi.org/10.1001/archopht.119.4.547,Outcome validation,Fundus photography,None,Vision-threatening DR,4 years,Longitudinal statistics,WESDR cohort,~2400 pts,Yes,Risk ratio,—,Step-specific risk,Yes,No,Yes,Yes,Yes,,Endpoint selection,≥2-step DRSS predicts PDR,Not a prediction model
Predicting the risk of developing diabetic retinopathy using deep learning,Bora,2021,Lancet Digital Health,https://doi.org/10.1016/S2589-7500(20)30250-8,Risk prediction,CFP,None,Incident DR,≤2 years,CNN + survival curves,Screening cohorts,>150k images,Yes,AUC,0.79–0.81,Kaplan–Meier curves,Partial,Yes,Yes,Yes,Partial,,Screening optimization,Imaging predicts DR risk,Not DRSS-ordinal
Peripheral lesions identified on UWF imaging predict DR progression,Silva,2015,Ophthalmology,https://doi.org/10.1016/j.ophtha.2015.01.008,Risk stratification,UWF CFP,None,DRSS progression,4 years,Cox regression,Joslin cohorts,290 eyes,Yes,HR,~3.2,Sensitivity analyses,Yes,Yes,Yes,Yes,Yes,,Enrichment / site selection,Peripheral lesions increase risk,Not ML-based
Comparison of ETDRS 7-field vs UWF imaging for DR severity,Aiello,2019,JAMA Ophthalmology,https://doi.org/10.1001/jamaophthalmol.2018.4982,Agreement analysis,CFP vs UWF,None,DR severity,Cross-sectional,Kappa statistics,Clinical imaging,103 eyes,Yes,Kappa,0.73–0.82,Sensitivity/specificity,No,No,No,No,Yes,,Regulatory alignment,UWF compatible with DRSS,No prediction
OCT angiography metrics predict progression of diabetic retinopathy and DME,Sun,2019,Ophthalmology,https://doi.org/10.1016/j.ophtha.2019.06.016,Prognostic modeling,OCTA,None,DR progression / DME,2 years,Cox regression,Prospective cohort,205 eyes,No,HR,~1.8–2.5,C-statistic,Yes,Yes,Partial,Yes,Partial,,Feature augmentation,OCTA predicts progression,Small cohort
Parafoveal ischemia predicts diabetic retinopathy progression,Yang,2023,JAMA Ophthalmology,https://doi.org/10.1001/jamaophthalmol.2023.1821,Prognostic modeling,OCTA,None,DR progression + VA,2 years,Longitudinal regression,Clinic cohort,206 eyes,No,HR,~2.0,VA decline,Yes,Yes,Partial,Yes,Partial,,Imaging deltas,Ischemia precedes DRSS change,No DL
